cod_ccaa,des_ccaa_x,des_ccaa_y,pob_ccaa
1,ANDALUCÍA,Andalucía,8379820
2,ARAGÓN,Aragón,1308750
3,ASTURIAS,"Asturias, Principado de",1034960
4,ILLES BALEARS,"Balears, Illes",1115999
5,CANARIAS,Canarias,2108121
6,CANTABRIA,Cantabria,580295
7,CASTILLA Y LEÓN,Castilla y León,2425801
8,CASTILLA-LA MANCHA,Castilla - La Mancha,2031479
9,CATALUÑA,Cataluña,7555830
10,COMUNIDAD VALENCIANA,Comunitat Valenciana,4941509
11,EXTREMADURA,Extremadura,1079920
12,GALICIA,Galicia,2708339
13,MADRID,"Madrid, Comunidad de",6507184
14,REGIÓN DE MURCIA,"Murcia, Región de",1470273
15,C. FORAL DE NAVARRA,"Navarra, Comunidad Foral de",643234
16,PAÍS VASCO,País Vasco,2194158
21,LA RIOJA-CEUTA-MELILLA,"Rioja, La-Ceuta-Melilla",486460
17,,"Rioja, La",315381
18,,Ceuta,84959
19,,Melilla,86120
