año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2016,1.1300000000000000e+02,0,0,0,0,0
2016,6.1900000000000000e+02,127,33,160,0,0
2016,1.6300000000000000e+02,0,0,0,0,0
2016,1.3100000000000000e+02,0,0,0,0,0
2016,3.7500000000000000e+02,0,0,0,0,0
2016,1.0900000000000000e+03,2244,292,2609,239,0
2016,7.6400000000000000e+02,1635,455,2065,220,0
2016,1.4000000000000000e+01,283,198,481,0,0
2016,6.5700000000000000e+02,253,140,395,14,0
2016,3.6200000000000000e+02,13,12,25,0,0
2016,9.8900000000000000e+02,278,49,329,31,0
2016,9.9000000000000000e+02,350,114,468,17,0
2016,6.8000000000000000e+02,1855,424,2345,293,0
2016,4.1100000000000000e+02,223,237,466,20,0
2016,2.4100000000000000e+02,138,277,417,23,0
2016,5.5800000000000000e+02,716,271,1002,68,0
2016,1.6700000000000000e+02,3,2,5,0,0
2016,2.4800000000000000e+02,0,0,0,0,0
2016,2.2400000000000000e+02,103,54,157,4,0
2016,5.9100000000000000e+02,1014,294,1349,179,0
2016,5.8600000000000000e+02,1060,329,1416,124,0
2016,4.5300000000000000e+02,0,0,0,0,0
2016,1.4500000000000000e+02,0,0,0,0,0
2016,5.1100000000000000e+02,771,280,1059,83,0
2016,5.3000000000000000e+02,988,309,1303,90,0
2016,6.0000000000000000e+00,223,287,521,50,0
2016,1.6100000000000000e+02,0,0,0,0,0
2016,6.2300000000000000e+02,805,237,1069,93,0
2016,8.7500000000000000e+02,0,0,0,0,0
2016,9.4600000000000000e+02,105,111,216,12,0
2016,1.0230000000000000e+03,894,226,1138,72,0
2016,1.0540000000000000e+03,734,262,993,45,0
2016,1.0570000000000000e+03,0,0,0,0,0
2016,1.0310000000000000e+03,0,0,0,0,0
2016,1.0320000000000000e+03,1256,292,1568,117,0
2016,1.0640000000000000e+03,100,116,216,13,0
2016,2.2600000000000000e+02,303,185,488,48,0
2016,6.8700000000000000e+02,853,206,1073,50,0
2016,7.4500000000000000e+02,2361,693,3107,290,0
2016,1.0900000000000000e+02,391,179,574,6,0
2016,8.0800000000000000e+02,2220,462,2666,152,1
2016,9.7100000000000000e+02,0,0,0,0,0
2016,1.2800000000000000e+02,0,0,0,0,0
2016,9.1900000000000000e+02,651,229,900,47,0
2016,7.2500000000000000e+02,1859,572,2449,194,0
2016,3.0000000000000000e+00,0,0,0,0,0
2016,3.0600000000000000e+02,0,0,0,0,0
2016,1.5000000000000000e+01,0,0,0,0,0
2016,2.6400000000000000e+02,246,157,403,12,0
2016,8.6700000000000000e+02,0,0,0,0,0
2016,9.1000000000000000e+02,414,200,613,31,1
2016,1.0530000000000000e+03,635,345,994,62,0
2016,1.0550000000000000e+03,1098,312,1431,118,0
2016,1.0810000000000000e+03,0,0,0,0,0
2016,1.0990000000000000e+03,0,0,0,0,0
2016,5.2900000000000000e+02,0,0,0,0,0
2016,3.4500000000000000e+02,0,0,0,0,0
2016,5.1500000000000000e+02,0,0,0,0,0
2016,1.7400000000000000e+02,0,0,0,0,0
2016,5.2300000000000000e+02,0,0,0,0,0
2016,6.9700000000000000e+02,692,331,1021,57,0
2016,2.3900000000000000e+02,0,0,0,0,0
2016,2.8700000000000000e+02,347,156,514,18,0
2016,3.7700000000000000e+02,0,0,0,0,0
2016,6.9200000000000000e+02,1078,189,1291,70,0
2016,3.3500000000000000e+02,0,0,0,0,0
2016,4.3500000000000000e+02,149,75,223,6,0
2016,4.2300000000000000e+02,40,41,81,0,0
2016,3.5100000000000000e+02,0,0,0,0,0
2016,8.1000000000000000e+02,27,10,37,0,0
2016,8.3000000000000000e+02,885,135,1020,0,0
2016,8.9200000000000000e+02,1631,324,1986,137,0
2016,9.2100000000000000e+02,473,348,821,24,0
2016,9.9100000000000000e+02,61,16,76,0,0
